Gender,Condition,Dosage,Meas1,Meas2,Meas3
female,A,30,212,399,264
female,A,30,290,284,372
female,A,30,310,113,169
female,A,30,133,353,513
female,A,30,387,357,571
female,B,60,365,203,388
female,B,60,198,262,414
female,C,120,192,100,331
female,C,120,215,297,382
female,C,120,154,339,439
male,A,30,148,232,201
male,A,30,322,300,128
male,A,30,249,463,427
male,B,60,135,44,342
male,B,60,217,271,376
male,B,60,243,252,318
male,C,120,424,294,456
male,C,120,337,184,296
male,C,120,387,407,259
male,C,120,481,125,130
